"filename", "language", "TypeScript", "JSON", "TypeScript JSX", "Markdown", "JSON with Comments", "SCSS", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Admin\Desktop\mifi_ifib_v2\README.md", "Markdown", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 11, 51
"c:\Users\Admin\Desktop\mifi_ifib_v2\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 2, 29
"c:\Users\Admin\Desktop\mifi_ifib_v2\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"c:\Users\Admin\Desktop\mifi_ifib_v2\package-lock.json", "JSON", 0, 8911, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8912
"c:\Users\Admin\Desktop\mifi_ifib_v2\package.json", "JSON", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\app\App.module.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\app\App.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\app\ProtectedApp.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\catalogs\practicums.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 85
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\catalogs\terms.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\components\Footer\Footer.module.scss", "SCSS", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 21, 125
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\components\Footer\Footer.tsx", "TypeScript JSX", 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 36, 227
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\components\Header\Header.module.scss", "SCSS", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 18, 102
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\components\Header\Header.tsx", "TypeScript JSX", 0, 0, 333, 0, 0, 0, 0, 0, 0, 0, 25, 358
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\components\Header\components\UserMenu\UserMenu.module.scss", "SCSS", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\components\Header\components\UserMenu\UserMenu.tsx", "TypeScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\components\IframeWithLoader\IframeWithLoader.module.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\components\IframeWithLoader\IframeWithLoader.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\components\NoData\NoData.module.scss", "SCSS", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\components\NoData\NoData.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
